,Unnamed: 0,movie_title,overview,genre
0,0,The Shawshank Redemption,frame 1940 doubl murder wife lover upstand banker andi dufresn begin new life shawshank prison put account skill work amor warden long stretch prison dufresn come admir inmat includ older prison name red integr unquench sens hope,"['Crime', 'Drama']"
1,1,The Godfather,span year 1945 1955 chronicl fiction italianamerican corleon crime famili organ crime famili patriarch vito corleon bare surviv attempt life youngest son michael step take care wouldb killer launch campaign bloodi reveng,"['Crime', 'Drama']"
2,2,The Godfather Part II,continu saga corleon crime famili young vito corleon grow sicili 1910 new york 1950 michael corleon attempt expand famili busi la vega hollywood cuba,"['Crime', 'Drama']"
3,3,Schindler's List,true stori businessman oskar schindler save thousand jewish live nazi work slave factori world war ii,"['Drama', 'History', 'War']"
4,4,千と千尋の神隠し,young girl chihiro becom trap strang new world spirit parent undergo mysteri transform must call upon courag never knew free famili,"['Animation', 'Family', 'Fantasy']"
5,5,12 Angry Men,defens prosecut rest juri file juri room decid young spanishamerican guilti innoc murder father begin open shut case soon becom minidrama juror prejudic preconcept trial accus,['Drama']
6,6,दिलवाले दुल्हनिया ले जायेंगे,raj rich carefre happygolucki second gener nri simran daughter chaudhari baldev singh spite nri strict adher indian valu simran left india marri childhood fiancé raj leav india mission hand claim ladi love nose whole famili thu begin saga,"['Comedy', 'Drama', 'Romance']"
7,7,The Dark Knight,batman rais stake war crime help lt jim gordon district attorney harvey dent batman set dismantl remain crimin organ plagu street partnership prove effect soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker,"['Action', 'Crime', 'Drama', 'Thriller']"
8,8,기생충,unemploy kitaek famili take peculiar interest wealthi glamor park livelihood get entangl unexpect incid,"['Comedy', 'Drama', 'Thriller']"
9,9,The Green Mile,supernatur tale set death row southern prison gentl giant john coffey possess mysteri power heal peopl ailment cell block head guard paul edgecomb recogn coffey miracul gift tri desper help stave condemn man execut,"['Crime', 'Drama', 'Fantasy']"
10,10,君の名は。,high schooler mitsuha taki complet stranger live separ live one night suddenli switch place mitsuha wake taki ’s bodi bizarr occurr continu happen randomli two must adjust live around,"['Animation', 'Drama', 'Romance']"
11,11,Pulp Fiction,burgerlov hit man philosoph partner drugaddl gangster moll washedup boxer converg sprawl comed crime caper adventur unfurl three stori ingeni trip back forth time,"['Crime', 'Thriller']"
12,12,The Lord of the Rings: The Return of the King,aragorn reveal heir ancient king gandalf member broken fellowship struggl save gondor sauron forc meanwhil frodo sam take ring closer heart mordor dark lord realm,"['Action', 'Adventure', 'Fantasy']"
13,13,Forrest Gump,man low iq accomplish great thing life present signific histor event — in case far exceed anyon imagin could despit achiev one true love elud,"['Comedy', 'Drama', 'Romance']"
14,14,GoodFellas,true stori henri hill halfirish halfsicilian brooklyn kid adopt neighbourhood gangster earli age climb rank mafia famili guidanc jimmi conway,"['Crime', 'Drama']"
15,15,"Il buono, il brutto, il cattivo",civil war rage union confederaci three men – quiet loner ruthless hitman mexican bandit – comb american southwest search strongbox contain 200000 stolen gold,['Western']
16,16,火垂るの墓,final month world war ii 14yearold seita sister setsuko orphan mother kill air raid kobe japan fall aunt move abandon bomb shelter surviv rel emerg ration deplet seita setsuko struggl surviv,"['Animation', 'Drama', 'War']"
17,17,Nuovo Cinema Paradiso,filmmak recal childhood fell love movi villag theater form deep friendship theater projectionist,"['Drama', 'Romance']"
18,18,La vita è bella,touch stori italian book seller jewish ancestri live littl fairi tale creativ happi life would come abrupt halt entir famili deport concentr camp world war ii lock tri convinc son whole thing game,"['Comedy', 'Drama']"
19,19,七人の侍,samurai answer villag request protect fall hard time town need protect bandit samurai gather six other help teach peopl defend villag provid soldier food,"['Action', 'Drama']"
20,20,Primal: Tales of Savagery,genndi tartakovski primal tale savageri featur caveman dinosaur brink extinct bond tragedi unlik friendship becom hope surviv,"['Action', 'Adventure', 'Animation', 'Drama']"
21,21,Fight Club,tickingtimebomb insomniac slipperi soap salesman channel primal male aggress shock new form therapi concept catch underground fight club form everi town eccentr get way ignit outofcontrol spiral toward oblivion,['Drama']
22,22,Taylor Swift: Reputation Stadium Tour,taylor swift take stage dalla reput stadium tour celebr monument night music memori visual magic,['Music']
23,23,同級生,rihito sajo honor student perfect score entranc exam hikaru kusakab band popular among girl would never cross path one day start talk practic school ’s upcom choru festiv school two meet regularli hikaru help rihito improv sing skill listen other ’s voic harmon heart start beat togeth,"['Animation', 'Romance']"
24,24,Psycho,larcen real estat clerk marion crane goe lam wad cash hope start new life end notori bate motel manag norman bate care housebound mother,"['Horror', 'Mystery', 'Thriller']"
25,25,Cidade de Deus,slum rio two kid path diverg one struggl becom photograph kingpin,"['Crime', 'Drama']"
26,26,Gabriel's Inferno,intrigu sin explor seduct forbidden love redempt gabriel inferno captiv wildli passion tale one man escap person hell tri earn impossibleforg love,"['Drama', 'Romance']"
27,27,Interstellar,adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyag,"['Adventure', 'Drama', 'Science Fiction']"
28,28,Cosas imposibles,matild woman death husband — a man constantli abus her — find new best friend miguel young insecur disori even dealer neighbor,"['Drama', 'Family']"
29,29,Once Upon a Time in America,former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life,"['Crime', 'Drama']"
30,30,One Flew Over the Cuckoo's Nest,petti crimin fake insan serv sentenc mental ward rather prison soon find leader patient — and enemi cruel domin nurs run ward,['Drama']
31,31,Dune: Part Two,follow mythic journey paul atreid unit chani fremen path reveng conspir destroy famili face choic love life fate known univers paul endeavor prevent terribl futur forese,"['Adventure', 'Science Fiction']"
32,32,Gabriel's Inferno: Part II,professor gabriel emerson final learn truth julia mitchel ident realiz come moment late julia done wait wellrespect dant specialist rememb want noth gabriel win back heart find love anoth arm,"['Drama', 'Romance']"
33,33,The Lord of the Rings: The Fellowship of the Ring,young hobbit frodo baggin inherit mysteri ring uncl bilbo must leav home order keep fall hand evil creator along way fellowship form protect ringbear make sure ring arriv final destin mt doom place destroy,"['Action', 'Adventure', 'Fantasy']"
34,34,ハウルの動く城,sophi young millin turn elderli woman witch enter shop curs encount wizard name howl get caught resist fight king,"['Adventure', 'Animation', 'Fantasy']"
35,35,Spider-Man: Into the Spider-Verse,struggl find place world juggl school famili brooklyn teenag mile moral unexpectedli bitten radioact spider develop unfathom power like one spiderman wrestl implic new abil mile discov super collid creat madman wilson kingpin fisk caus other across spidervers inadvert transport dimens,"['Action', 'Adventure', 'Animation', 'Science Fiction']"
36,36,소원,8yearold sowon narrowli surviv brutal sexual assault famili labor help heal cope rage grief,['Drama']
37,37,O Auto da Compadecida,live joão grilo sli chicó poor guy live hinterland cheat bunch peopl small northeastern brazil die judg christ devil virgin mari admit paradis,"['Comedy', 'Drama', 'Fantasy']"
38,38,Gabriel's Inferno: Part III,final part film adapt erot romanc novel gabriel inferno written anonym canadian author pen name sylvain reynard,"['Drama', 'Romance']"
39,39,The Lord of the Rings: The Two Towers,frodo sam trek mordor destroy one ring power gimli legola aragorn search orccaptur merri pippin along nefari wizard saruman await fellowship member orthanc tower isengard,"['Action', 'Adventure', 'Fantasy']"
40,40,The Empire Strikes Back,epic saga continu luke skywalk hope defeat evil galact empir learn way jedi age master yoda darth vader determin ever captur luke meanwhil rebel leader princess leia cocki han solo chewbacca droid c3po r2d2 thrown variou stage captur betray despair,"['Action', 'Adventure', 'Science Fiction']"
41,41,映画 聲の形,shouya ishida start bulli new girl class shouko nishimiya deaf teas continu rest class start turn shouya lack compass leav elementari school shouko shouya speak older wiser shouya torment past behaviour decid must see shouko want aton sin alreadi late,"['Animation', 'Drama']"
42,42,The Pianist,true stori pianist władysław szpilman experi warsaw nazi occup jew citi find forc ghetto szpilman find work play café famili deport 1942 stay behind work labor eventu goe hide ruin wartorn citi,"['Drama', 'War']"
43,43,Whiplash,direct ruthless instructor talent young drummer begin pursu perfect cost even human,"['Drama', 'Music']"
44,44,Radical,mexican border town plagu neglect corrupt violenc frustrat teacher tri radic new method break student ’ apathi unlock curios potenti … mayb even geniu,['Drama']
45,45,Spider-Man: Across the Spider-Verse,reunit gwen staci brooklyn ’s fulltim friendli neighborhood spiderman catapult across multivers encount spider societi team spiderpeopl charg protect multivers ’s exist hero clash handl new threat mile find pit spider must set save love,"['Action', 'Adventure', 'Animation', 'Science Fiction']"
46,46,罗小黑战记,cat spirit luo xiaohei home deforest human must find new one run group spirit creatur take wing dream reconqu land say right howev run human known wuxian separ luo xiaohei spirit two go journey cat spirit learn control abil well form thought whether alli spirit human,"['Action', 'Animation', 'Fantasy']"
47,47,切腹,downonhisluck veteran tsugumo hanshirō enter courtyard prosper hous iyi unemploy famili hope find place commit seppuku — and worthi second deliv coup de grâce suicid ritual senior counselor iyi clan question ronin ’s resolv integr suspect hanshirō seek chariti rather honor end follow pair interlock stori lay bare differ honor respect promis examin legendari foundat samurai code,"['Action', 'Drama', 'History']"
48,48,映画 五等分の花嫁,five love young girl hate studi hire parttim tutor futaro guid educ also heart time spent brought closer feel grow within girl futaro finish third year high school last school festiv approach set sight what ’s next futur one futaro,"['Animation', 'Comedy', 'Romance']"
49,49,Se7en,two homicid detect desper hunt serial killer whose crime base seven deadli sin dark haunt film take viewer tortur remain one victim next season det sommerset research sin effort get insid killer mind novic partner mill scoff effort unravel case,"['Crime', 'Mystery', 'Thriller']"
50,50,Inception,cobb skill thief commit corpor espionag infiltr subconsci target offer chanc regain old life payment task consid imposs incept implant anoth person idea target subconsci,"['Action', 'Adventure', 'Science Fiction']"
51,51,Rear Window,wheelchairbound photograph spi neighbor apart window becom convinc one commit murder,"['Mystery', 'Thriller']"
52,52,The Silence of the Lambs,claric starl top student fbi train academi jack crawford want claric interview dr hannib lecter brilliant psychiatrist also violent psychopath serv life behind bar variou act murder cannib crawford believ lecter may insight case starl attract young woman may bait draw,"['Crime', 'Drama', 'Thriller']"
53,53,American History X,derek vineyard parol serv 3 year prison kill two africanamerican men brother danni vineyard narrat learn go prison derek skinhead leader violent white supremacist gang commit act racial crime throughout la action greatli influenc danni reform fresh prison derek sever contact gang becom determin keep danni go violent path,['Drama']
54,54,蛍火の杜へ,one hot summer day littl girl get lost enchant forest mountain god spirit resid young boy appear can not touch fear make disappear wondrou adventur await,"['Animation', 'Fantasy', 'Romance']"
55,55,もののけ姫,ashitaka princ disappear emishi peopl curs demon boar god must journey west find cure along way encount san young human woman fight protect forest ladi eboshi tri destroy ashitaka must find way bring balanc conflict,"['Adventure', 'Animation', 'Fantasy']"
56,56,The Great Dictator,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim,"['Comedy', 'War']"
57,57,Sunset Boulevard,hack screenwrit write screenplay former silent film star fade hollywood obscur,['Drama']
58,58,Dedicada A Mi Ex,film tell stori ariel 21yearold decid form rock band compet prize ten thousand dollar music band contest last option tri get money save relationship reunit exgirlfriend break due trip must make finland internship ariel friend ortega decid make cast find member band although know noth music thu form band member divers opposit person,"['Comedy', 'Drama']"
59,59,Back to the Future,eighti teenag marti mcfli accident sent back time 1955 inadvert disrupt parent first meet attract mother romant interest marti must repair damag histori rekindl parent romanc help eccentr inventor friend doc brown return 1985,"['Adventure', 'Comedy', 'Science Fiction']"
60,60,Dead Poets Society,elit oldfashion board school new england passion english teacher inspir student rebel convent seiz potenti everi day court disdain stern headmast,['Drama']
61,61,Léon: The Professional,léon top hit man new york earn rep effect cleaner nextdoor neighbor wipe loosecannon dea agent becom unwil custodian 12yearold mathilda long mathilda thought turn reveng consid follow léon footstep,"['Action', 'Crime', 'Drama']"
62,62,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,second two theatric releas followup neon genesi evangelion seri compris two altern episod first intend take place episod 25 26 final answer mani question surround seri also open new possibl,"['Action', 'Animation', 'Drama', 'Science Fiction']"
63,63,C'è ancora domani,postwar itali famili typic housewif delia turmoil impend engag belov firstborn marcella arriv mysteri letter howev ignit delia courag face abus husband imagin better futur,"['Comedy', 'Drama']"
64,64,PERFECT BLUE,encourag manag rise pop star mima take recur role popular tv show suddenli handler collabor begin turn murder,"['Animation', 'Thriller']"
65,65,Once Upon a Studio,creat disney 100th anniversari short featur mickey mous corral galleri legendari disney charact group photo,"['Animation', 'Comedy', 'Family', 'Fantasy']"
66,66,生きる,kanji watanab middleag man work monoton bureaucrat posit decad learn cancer start look mean life,['Drama']
67,67,天国と地獄,shoe compani execut mortgag everyth becom victim extort chauffeur son kidnap conflict whether pay ransom,"['Crime', 'Drama', 'Thriller']"
68,68,Modern Times,bumbl tramp desir build home young woman yet thwart time time lack experi habit wrong place wrong time,"['Comedy', 'Drama']"
69,69,C'era una volta il West,railroad builder advanc unstopp arizona desert way sea jill arriv small town flagston intent start new life,"['Drama', 'Western']"
70,70,City Lights,soundera silent film tramp fall love beauti blind flower seller,"['Comedy', 'Drama', 'Romance']"
71,71,Le Trou,four prison inmat hatch plan liter dig jail anoth prison claud gaspard move cell take risk share plan newcom cours three day prison friend break concret floor use bed post begin make way sewer system yet escap anyth assur,"['Crime', 'Drama', 'Thriller']"
72,72,ジョゼと虎と魚たち,dream dive abroad tsuneo get job assist jose artist whose imagin take far beyond wheelchair tide turn push place never thought possibl inspir love fit storybook,"['Animation', 'Drama', 'Romance']"
73,73,Apocalypse Now,height vietnam war captain benjamin willard sent danger mission offici exist ever exist goal locat elimin mysteri green beret colonel name walter kurtz lead person armi illeg guerrilla mission enemi territori,"['Drama', 'War']"
74,74,"The Boy, the Mole, the Fox and the Horse",unlik friendship boy mole fox hors travel togeth boy ’s search home,"['Adventure', 'Animation', 'Family', 'Fantasy']"
75,75,Life in a Year,17 year old find girlfriend die set give entir life last year left,"['Drama', 'Romance']"
76,76,Intouchables,true stori two men never met – quadripleg aristocrat injur paraglid accid young man project,"['Comedy', 'Drama']"
77,77,Paths of Glory,command offic defend three scapegoat trial fail offens occur within french armi 1916,"['Drama', 'History', 'War']"
